,tmax,tavg,precipitation
0,60,50.0,0.08
1,41,38.0,0
2,45,42.0,T
3,47,42.0,0
4,47,44.5,0.45
5,49,40.5,T
6,35,30.5,0
7,47,41.0,0.21
8,46,40.5,0.07
9,35,32.5,0
10,32,27.0,0
11,34,27.5,0
12,33,29.0,T
13,35,28.5,0
14,36,31.0,0
15,40,35.5,0
16,34,30.0,0
17,42,35.5,0.03
18,39,35.5,0.34
19,40,28.0,1
20,16,10.5,0
21,31,22.5,0
22,47,38.5,T
23,57,46.0,1.48
24,40,34.5,0
25,35,30.0,0
26,49,39.0,0
27,39,32.0,0
28,44,34.5,0.27
29,36,21.5,T
30,17,10.0,0
31,22,17.0,0
32,35,26.5,0
33,52,41.5,0
34,59,47.5,0
35,65,50.5,0
36,46,40.5,0.47
37,44,40.5,0.11
38,55,44.0,0.37
39,33,28.5,0
40,36,30.0,0
41,37,34.0,0
42,35,30.5,0.7
43,42,37.5,0.06
44,46,39.5,0
45,56,48.5,0
46,46,39.0,0
47,37,31.5,0.04
48,42,34.0,0.1
49,36,30.0,0
50,32,29.0,0.59
51,52,42.0,0.14
52,43,40.0,0
53,39,35.5,T
54,47,41.0,0.73
55,43,35.5,T
56,37,31.0,0
57,29,26.0,0
58,36,31.0,0.03
59,36,30.5,0.1
60,41,35.5,0.45
61,43,37.5,0.51
62,39,33.5,0.35
63,32,26.5,0
64,27,23.0,0
65,33,26.0,T
66,38,31.0,0
67,47,40.5,0
68,44,39.0,0.66
69,53,46.0,0
70,43,38.5,0
71,46,39.0,0
72,57,49.0,0
73,72,60.0,0.27
74,59,48.0,0
75,45,39.5,0
76,46,39.5,0
77,49,42.5,0
78,51,44.0,0
79,45,42.5,0.69
80,49,43.5,0.53
81,48,41.5,T
82,60,49.0,0
83,58,50.0,T
84,48,40.5,0
85,44,39.0,0
86,51,44.0,T
87,59,53.0,T
88,65,55.5,0
89,60,49.5,0.08
90,46,39.5,0
91,50,43.5,T
92,67,54.0,T
93,59,51.5,0
94,45,42.0,0.23
95,66,52.5,T
96,63,55.0,T
97,79,63.0,0.25
98,50,46.5,0.02
99,58,51.0,0
100,52,46.0,0
101,66,55.5,0.48
102,75,66.5,0.28
103,70,63.0,T
104,62,53.5,0.78
105,64,54.0,T
106,61,54.0,0.01
107,63,56.5,T
108,76,65.5,0.1
109,63,58.5,0.58
110,64,57.5,T
111,60,54.5,0.29
112,75,64.5,0.1
113,68,61.0,0.01
114,63,56.0,0.01
115,61,55.5,1.1
116,57,52.5,0.11
117,52,49.0,T
118,59,51.5,0.02
119,57,52.5,0.05
120,55,51.5,0.01
121,71,59.0,T
122,52,50.0,0.13
123,68,59.0,0.06
124,54,51.5,1.33
125,67,58.0,T
126,65,58.0,0.06
127,68,61.0,0
128,61,56.5,0
129,73,64.5,0.04
130,70,63.5,0.01
131,59,51.5,1.22
132,50,46.0,0.59
133,52,48.0,0.2
134,69,58.0,0.02
